start,end,duration_ms,poll_ts,poll_slack_ms,start_time_us,start_time_raw_s,start_time_s,start_time_to_poll_ms,post_begin_to_start_time_ms,post_cpu_ms,post_duration_ms,bytes_transferred,throughput_gbps,desc_count,req,handle,role,dp,tp,pid,n_blocks,remote_engine,remote_rank,interval_source
1780280964.2634666,1780280964.2659895,2.523,1780280964.2660465,0.05698204040527344,137334225133,137334.225133,1780280964.2634666,2.579927444458008,0.0054836273193359375,2.2013187408447266,2.18,3145728,1.2468204518430441,192,chatcmpl-6a82de0d-2f62-4a9a-b606-3606bd30f174-a89e33d4,"nixl_xfer_handle(0x5af9a3da85a0, released=False)",decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280964.2880397,1780280964.2895608,1.521,1780280964.2898273,0.2665519714355469,137334249706,137334.249706,1780280964.2880397,1.7876625061035156,0.005245208740234375,1.5456676483154297,1.521,3145728,2.0681972386587772,192,chatcmpl-21b057d9-8646-42cb-9dac-bbd98f9ac436-b86a11c7,"nixl_xfer_handle(0x556359958c20, released=False)",decode,1,0,452712,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280964.3002076,1780280964.3008657,0.6579999999999999,1780280964.3012207,0.35500526428222656,137334261874,137334.261874,1780280964.3002076,1.013040542602539,0.002384185791015625,0.6759166717529297,0.658,1572864,2.390370820668693,48,chatcmpl-23e26d02-f6b1-416f-9035-5d11585fb8b1-8349479d,"nixl_xfer_handle(0x5af9a3da85a0, released=False)",decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280964.3491066,1780280964.3734095,24.303,1780280964.3734677,0.05817413330078125,137334310773,137334.310773,1780280964.3491066,24.361133575439453,0.0054836273193359375,8.243083953857422,8.215,45613056,1.8768487841007282,2784,chatcmpl-d36dd96f-4e43-4b8c-9d41-6a57fc65010d-ae23be8b,"nixl_xfer_handle(0x556359958c20, released=False)",decode,1,0,452712,29,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280964.4588315,1780280964.4603536,1.522,1780280964.4606168,0.263214111328125,137334420498,137334.420498,1780280964.4588315,1.7852783203125,0.0050067901611328125,1.5447139739990234,1.522,3145728,2.066838370565046,192,chatcmpl-a976c9bb-2d96-4164-9c2a-9d0d2e190b35-bd865120,"nixl_xfer_handle(0x556359958c20, released=False)",decode,1,0,452712,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280964.5695176,1780280964.5817206,12.203000000000001,1780280964.5817525,0.031948089599609375,137334531184,137334.531184,1780280964.5695176,12.234926223754883,0.0045299530029296875,5.6476593017578125,5.628,23592960,1.9333737605506842,1440,chatcmpl-c3a8dd76-b6f2-43be-bed2-5461f39709ff-a85083e1,"nixl_xfer_handle(0x556359958c20, released=False)",decode,1,0,452712,15,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280964.5695276,1780280964.5715706,2.043,1780280964.5718534,0.2827644348144531,137334531194,137334.531194,1780280964.5695276,2.325773239135742,0.007867813110351562,2.0825862884521484,2.043,3145728,1.5397591776798825,192,chatcmpl-efc3ae3d-f393-4209-a45d-7b836a405f27-80225dff,"nixl_xfer_handle(0x5af9a3da85a0, released=False)",decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280964.7527657,1780280964.7562907,3.525,1780280964.756568,0.2772808074951172,137334714432,137334.714432,1780280964.7527657,3.8022994995117188,0.008106231689453125,3.5521984100341797,3.525,7864320,2.231012765957447,480,chatcmpl-4c118f4a-8b61-4036-b817-2086cdbbf064-bf87da70,"nixl_xfer_handle(0x556359958c20, released=False)",decode,1,0,452712,5,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280964.7529676,1780280964.7748256,21.858,1780280964.7748432,0.017642974853515625,137334714634,137334.714634,1780280964.7529676,21.875619888305664,0.006198883056640625,7.225513458251953,7.181,55050240,2.518539665111172,3360,chatcmpl-e58583d9-ae0d-4f95-8c5d-cae21cae8515-814b18e0,"nixl_xfer_handle(0x5af9a3da85a0, released=False)",decode,0,0,452715,35,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280964.7649887,1780280964.7654166,0.428,1780280964.7656775,0.2608299255371094,137334726655,137334.726655,1780280964.7649887,0.6887912750244141,0.0050067901611328125,0.4475116729736328,0.428,1572864,3.6749158878504673,48,chatcmpl-b1827a2c-8b8f-47f5-a9bd-a5da4979818e-99a30b22,"nixl_xfer_handle(0x556359958c20, released=False)",decode,1,0,452712,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
