ev,ts,start,end,duration_ms,role,dp,tp,pid,phase,overlap_ms,overlap_ratio,union_overlap_ms,union_overlap_ratio,overlap_intensity,max_active_recv,n_recv,n_send,n_in_batch,n_sched,n_reqs
bookkeeping_start,1780280964.12966,1780280964.12966,1780280964.129779,0.11920928955078125,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1297636,1780280964.1297636,1780280964.1298845,0.12087821960449219,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1415694,1780280964.1415694,1780280964.1416848,0.11539459228515625,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.141682,1780280964.141682,1780280964.1418004,0.11849403381347656,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.153738,1780280964.153738,1780280964.1538584,0.12040138244628906,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1538298,1780280964.1538298,1780280964.1539483,0.11849403381347656,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1659224,1780280964.1659224,1780280964.1660416,0.11920928955078125,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1659794,1780280964.1659794,1780280964.1660936,0.11420249938964844,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1784654,1780280964.1784654,1780280964.1785812,0.11587142944335938,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1785645,1780280964.1785645,1780280964.178687,0.12254714965820312,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.1905599,1780280964.1905599,1780280964.190679,0.11920928955078125,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.190648,1780280964.190648,1780280964.190765,0.11682510375976562,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.202688,1780280964.202688,1780280964.202807,0.11897087097167969,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2027907,1780280964.2027907,1780280964.2029104,0.11968612670898438,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.215405,1780280964.215405,1780280964.2155209,0.11587142944335938,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2155366,1780280964.2155366,1780280964.2156575,0.12087821960449219,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2274976,1780280964.2274976,1780280964.227617,0.11944770812988281,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.227593,1780280964.227593,1780280964.2277129,0.11992454528808594,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2396154,1780280964.2396154,1780280964.2397327,0.11730194091796875,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2396383,1780280964.2396383,1780280964.2397578,0.11944770812988281,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.251854,1780280964.251854,1780280964.2519715,0.11754035949707031,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2519429,1780280964.2519429,1780280964.2520611,0.118255615234375,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2640805,1780280964.2640805,1780280964.264199,0.11849403381347656,decode,1,0,452712,bookkeeping,0.11849403381347656,1.0,0.11849403381347656,1.0,1.0,1,,,,,
bookkeeping_start,1780280964.266643,1780280964.266643,1780280964.2667634,0.12040138244628906,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2762954,1780280964.2762954,1780280964.2764325,0.13709068298339844,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2763343,1780280964.2763343,1780280964.2764788,0.14448165893554688,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.2887785,1780280964.2887785,1780280964.2888987,0.1201629638671875,decode,0,0,452715,bookkeeping,0.1201629638671875,1.0,0.1201629638671875,1.0,1.0,1,,,,,
bookkeeping_start,1780280964.2904317,1780280964.2904317,1780280964.2905529,0.12111663818359375,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.3008325,1780280964.3008325,1780280964.300948,0.11539459228515625,decode,1,0,452712,bookkeeping,0.03314018249511719,0.2871900826446281,0.03314018249511719,0.2871900826446281,1.0,1,,,,,
bookkeeping_start,1780280964.301825,1780280964.301825,1780280964.3019466,0.12159347534179688,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.3128004,1780280964.3128004,1780280964.3129156,0.11515617370605469,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.3129692,1780280964.3129692,1780280964.3130891,0.11992454528808594,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.3255656,1780280964.3255656,1780280964.3256776,0.11205673217773438,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.3256123,1780280964.3256123,1780280964.3257291,0.11682510375976562,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.337192,1780280964.337192,1780280964.337307,0.11491775512695312,decode,1,0,452712,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
bookkeeping_start,1780280964.337285,1780280964.337285,1780280964.3374274,0.1423358917236328,decode,0,0,452715,bookkeeping,0.0,0.0,0.0,0.0,0.0,0,,,,,
